feature,score
"['서울아파트매매가격지수', '수출물가지수', 'XTEXVA01CNM667S']",-1.536924394
"['DGORDER', 'TOTALSA', 'GACDFSA066MSFRBPHI']",-1.537425431
"['TOTALSA', 'XTIMVA01KRM667S', 'LRUNTTTTKRM156S']",-1.537981445
"['자가주거비포함지수', 'EXKOUS', '환율평균']",-1.538656607
"['BAA', 'PCE', 'KORPROINDMISMEI']",-1.540153865
"['BAA', 'UNRATENSA', '수출물가지수']",-1.540577947
"['BAA', 'UMCSENT', '수출물가지수']",-1.541130311
"['HOUST', 'EXKOUS', '통화량']",-1.541895934
"['BAA', 'TOTALSA', 'XTEXVA01CNM667S']",-1.541933461
"['BAA', 'NEWORDER', 'LRUNTTTTKRM156S']",-1.542079335
"['자가주거비', 'EXKOUS', '환율평균']",-1.542397064
"['BAA', '수출물가지수', '정책금리']",-1.542767864
"['TWEXBMTH', 'TCU', 'GACDFSA066MSFRBPHI']",-1.542922489
"['BAA', 'PCE', 'LRUNTTTTKRM156S']",-1.543202095
"['BAA', '자가주거비', 'GACDFSA066MSFRBPHI']",-1.543204605
"['ISM_PMI_Actual', 'BAA', '자가주거비포함지수']",-1.543303282
"['ISM_PMI_Actual', 'DGORDER', 'TOTALSA']",-1.543560659
"['CSUSHPINSA', 'EXKOUS', '통화량']",-1.544148305
"['BAA', 'UNRATENSA', 'EXKOUS']",-1.544218128
"['BAA', 'UMCSENT', '통화량']",-1.544416781
"['BAA', 'LRUNTTTTKRM156S', '환율평균']",-1.544625812
"['BAA', 'UNRATENSA', 'UMCSENT']",-1.544752523
"['BAA', 'DGORDER', '수출물가지수']",-1.544808789
"['BAA', 'IR3TCD01KRM156N', '환율평균']",-1.545010461
"['BAA', '통화량', 'LRUNTTTTKRM156S']",-1.545322486
"['DGORDER', '서울아파트매매가격지수', 'KORPROINDMISMEI']",-1.546015779
"['BAA', '정책금리', 'LRUNTTTTKRM156S']",-1.546150165
"['HOUST', '자가주거비', 'EXKOUS']",-1.546394837
"['TCU', 'TOTALSA', 'UMCSENT']",-1.547396515
"['EXKOUS', '통화량', 'LRUNTTTTKRM156S']",-1.547636446
"['BAA', 'TWEXBMTH', 'IR3TCD01KRM156N']",-1.547774761
"['ISM_PMI_Actual', 'TOTALSA', 'XTIMVA01KRM667S']",-1.548168726
"['EXKOUS', '통화량', 'KORCPIALLMINMEI']",-1.548875677
"['T10Y2YM', '자가주거비', 'EXKOUS']",-1.549289915
"['자가주거비포함지수', '자가주거비', 'EXKOUS']",-1.550354182
"['BAA', '자가주거비', 'KORPROINDMISMEI']",-1.550523195
"['ISM_PMI_Actual', 'EXKOUS', '통화량']",-1.551144799
"['FEDFUNDS', 'EXKOUS', '통화량']",-1.551286513
"['EXKOUS', 'KORCPIALLMINMEI', 'LRUNTTTTKRM156S']",-1.553261322
"['경상수지', '서울아파트매매가격지수', '자가주거비포함지수']",-1.553813435
"['TCU', '자가주거비', '환율평균']",-1.553994876
"['자가주거비포함지수', 'EXKOUS', '정책금리']",-1.554716801
"['수출물가지수', 'GACDFSA066MSFRBPHI', 'KORCPIALLMINMEI']",-1.556114753
