DATE,무역 가중치 미국 달러 인덱스
2018-04-13,113.3754
2018-04-16,113.3669
2018-04-17,113.2475
2018-04-18,113.2347
2018-04-19,113.8257
2018-04-20,114.5336
2018-04-23,115.3506
2018-04-24,115.0888
2018-04-25,115.8375
2018-04-26,115.6125
2018-04-27,115.113
2018-04-30,115.3407
2018-05-01,115.5458
2018-05-02,116.3065
2018-05-03,116.3666
2018-05-04,116.4426
2018-05-07,117.0429
2018-05-08,117.4622
2018-05-09,117.3031
2018-05-10,116.6235
2018-05-11,116.7314
2018-05-14,117.1556
2018-05-15,117.9466
2018-05-16,117.9062
2018-05-17,118.0131
2018-05-18,118.4905
2018-05-21,118.3668
2018-05-22,117.7446
2018-05-23,118.1407
2018-05-24,117.9747
2018-05-25,117.7224
2018-05-28,0
2018-05-29,118.4295
2018-05-30,118.2442
2018-05-31,118.659
2018-06-01,118.3652
2018-06-04,118.453
2018-06-05,119.0946
2018-06-06,118.7461
2018-06-07,119.3592
2018-06-08,119.3469
2018-06-11,119.3472
2018-06-12,119.5009
2018-06-13,119.56
2018-06-14,119.8284
2018-06-15,120.4052
2018-06-18,120.4947
2018-06-19,120.5751
2018-06-20,120.2641
2018-06-21,120.5629
2018-06-22,120.111
2018-06-25,120.4019
2018-06-26,120.3353
2018-06-27,120.9968
2018-06-28,120.9022
2018-06-29,120.4618
2018-07-02,121.7536
2018-07-03,120.4904
2018-07-04,0
2018-07-05,120.0774
2018-07-06,119.7062
2018-07-09,119.5829
2018-07-10,119.3671
2018-07-11,119.8129
2018-07-12,119.2986
2018-07-13,119.7419
2018-07-16,119.6045
2018-07-17,119.7451
2018-07-18,119.9242
2018-07-19,120.73
2018-07-20,120.4882
2018-07-23,120.736
2018-07-24,120.228
2018-07-25,119.8119
2018-07-26,119.7183
2018-07-27,119.6214
2018-07-30,119.5798
2018-07-31,119.6517
2018-08-01,119.8388
2018-08-02,120.1296
2018-08-03,119.8723
2018-08-06,119.9977
2018-08-07,119.6243
2018-08-08,119.8104
2018-08-09,120.221
2018-08-10,121.1123
2018-08-13,122.1902
2018-08-14,121.6241
2018-08-15,122.4159
2018-08-16,121.6223
2018-08-17,121.7159
2018-08-20,121.4996
2018-08-21,121.1111
2018-08-22,121.1021
2018-08-23,121.5668
2018-08-24,120.9137
2018-08-27,120.6473
2018-08-28,121.0914
2018-08-29,121.6042
2018-08-30,122.2959
2018-08-31,122.2381
2018-09-03,0
2018-09-04,122.8361
2018-09-05,122.8936
2018-09-06,122.7853
2018-09-07,122.4736
2018-09-10,122.8969
2018-09-11,122.8993
2018-09-12,122.4302
2018-09-13,122.0434
2018-09-14,122.1692
2018-09-17,122.1302
2018-09-18,121.9433
2018-09-19,121.7646
2018-09-20,121.7819
2018-09-21,121.6467
2018-09-24,121.8
2018-09-25,122.14
2018-09-26,121.9475
2018-09-27,121.8512
2018-09-28,121.5479
2018-10-01,121.5095
2018-10-02,121.5539
2018-10-03,121.7994
2018-10-04,122.6582
2018-10-05,122.3594
2018-10-08,0
2018-10-09,122.557
2018-10-10,122.7597
2018-10-11,122.363
2018-10-12,122.3072
2018-10-15,121.9971
2018-10-16,121.7464
2018-10-17,121.8849
2018-10-18,122.7611
2018-10-19,122.7374
2018-10-22,123.0854
2018-10-23,123.2153
2018-10-24,123.3738
2018-10-25,123.2785
2018-10-26,123.3648
2018-10-29,124.0128
2018-10-30,124.4774
2018-10-31,124.9744
2018-11-01,124.1743
2018-11-02,123.6016
2018-11-05,123.8491
2018-11-06,123.6033
2018-11-07,123.3508
2018-11-08,123.8611
2018-11-09,124.7453
2018-11-12,0
2018-11-13,125.015
2018-11-14,124.7549
2018-11-15,124.4808
2018-11-16,124.1293
2018-11-19,124.4771
2018-11-20,124.5441
2018-11-21,124.1071
2018-11-22,0
2018-11-23,124.7852
2018-11-26,124.9886
2018-11-27,125.018
2018-11-28,124.9057
2018-11-29,124.2532
2018-11-30,124.4023
2018-12-03,123.7045
2018-12-04,123.8825
2018-12-05,0
2018-12-06,124.3984
2018-12-07,124.0446
2018-12-10,124.7252
2018-12-11,124.509
2018-12-12,123.9415
2018-12-13,124.1804
2018-12-14,124.5942
2018-12-17,124.1728
2018-12-18,124.0987
2018-12-19,123.7833
2018-12-20,123.5922
2018-12-21,123.8061
2018-12-24,123.7971
2018-12-25,0
2018-12-26,123.6841
2018-12-27,123.1614
2018-12-28,122.9799
2018-12-31,122.8385
