feature,precision
"['Volume', 'TWEXBMTH', 'XTEXVA01CNM667S']",0.117647059
"['Volume', 'TWEXBMTH', '정책금리']",0.206896552
"['Volume', 'TWEXBMTH', '통화량']",0.142857143
"['Volume', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'TWEXBMTH', 'XTIMVA01KRM667S']",0.142857143
"['Volume', 'TWEXBMTH', 'KORPROINDMISMEI']",0.193548387
"['Volume', 'TWEXBMTH', 'KORCPIALLMINMEI']",0.166666667
"['Volume', 'TWEXBMTH', 'LRUNTTTTKRM156S']",0.272727273
"['Volume', 'TWEXBMTH', '한국실업률']",0.1875
"['Volume', 'TWEXBMTH', 'IR3TCD01KRM156N']",0.166666667
"['Volume', 'TWEXBMTH', '환율평균']",0.16
"['Volume', 'UNRATENSA', 'TCU']",0.125
"['Volume', 'UNRATENSA', 'INDPRO']",0.111111111
"['Volume', 'UNRATENSA', 'PPIACO']",0.105263158
"['Volume', 'UNRATENSA', 'RMFSL']",0
"['Volume', 'UNRATENSA', 'CPIAUCSL']",0.194444444
"['Volume', 'UNRATENSA', 'HOUST']",0.166666667
"['Volume', 'UNRATENSA', 'HSN1F']",0.153846154
"['Volume', 'UNRATENSA', 'FEDFUNDS']",0.205882353
"['Volume', 'UNRATENSA', 'USSLIND']",0
"['Volume', 'UNRATENSA', 'TOTALSA']",0.076923077
